time,width,height,area,density
0.0000,12.2426,12.3446,151.1292,0.2059
3.0000,12.2426,12.3446,151.1292,0.2059
6.0000,12.2426,12.3446,151.1292,0.2059
9.0000,12.2426,12.3446,151.1292,0.2059
12.0000,12.2426,12.3446,151.1292,0.2059
15.0000,12.2426,12.3446,151.1292,0.2059
18.0000,12.2426,12.3446,151.1292,0.2059
21.0000,12.2426,12.3446,151.1292,0.2059
24.0000,12.2426,12.3446,151.1292,0.2059
27.0000,12.2426,12.3446,151.1292,0.2059
30.0000,12.2426,12.3446,151.1292,0.2059
33.0000,12.2426,12.3446,151.1292,0.2059
36.0000,12.2426,12.3446,151.1292,0.2059
39.0000,12.2426,12.3446,151.1292,0.2059
42.0000,12.2426,12.3446,151.1292,0.2059
45.0000,12.2426,12.3446,151.1292,0.2059
48.0000,12.2426,12.3446,151.1292,0.2059
51.0000,12.2426,12.3446,151.1292,0.2059
54.0000,12.2426,12.3446,151.1292,0.2059
57.0000,12.2426,12.3446,151.1292,0.2059
60.0000,12.2426,12.3446,151.1292,0.2059
63.0000,12.2426,12.3446,151.1292,0.2059
66.0000,12.2426,12.3446,151.1292,0.2059
69.0000,12.2426,12.3446,151.1292,0.2059
72.0000,12.2426,12.3446,151.1292,0.2059
75.0000,12.2426,12.3446,151.1292,0.2059
78.0000,12.2426,12.3446,151.1292,0.2059
81.0000,12.2426,12.3446,151.1292,0.2059
84.0000,12.2426,12.3446,151.1292,0.2059
87.0000,12.2426,12.3446,151.1292,0.2059
90.0000,12.2426,12.3446,151.1292,0.2059
93.0000,12.2426,12.3446,151.1292,0.2059
96.0000,12.2426,12.3446,151.1292,0.2059
99.0000,12.2426,12.3446,151.1292,0.2059
102.0000,12.2426,12.3446,151.1292,0.2059
105.0000,12.2426,12.3446,151.1292,0.2059
108.0000,12.2426,12.3446,151.1292,0.2059
111.0000,12.2426,12.3446,151.1292,0.2059
114.0000,12.2426,12.3446,151.1292,0.2059
117.0000,12.2426,12.3446,151.1292,0.2059
120.0000,12.2426,12.3446,151.1292,0.2059
123.0000,12.2426,12.3446,151.1292,0.2059
126.0000,12.2426,12.3446,151.1292,0.2059
129.0000,12.2426,12.3446,151.1292,0.2059
132.0000,12.2426,12.3446,151.1292,0.2059
135.0000,12.2426,12.3446,151.1292,0.2059
138.0000,12.2426,12.3446,151.1292,0.2059
141.0000,12.2426,12.3446,151.1292,0.2059
144.0000,12.2426,12.3446,151.1292,0.2059
147.0000,12.2426,12.3446,151.1292,0.2059
150.0000,12.2426,12.3446,151.1292,0.2059
153.0000,12.2426,12.3446,151.1292,0.2059
156.0000,12.2426,12.3446,151.1292,0.2059
159.0000,12.2426,12.3446,151.1292,0.2059
162.0000,12.2426,12.3446,151.1292,0.2059
