time,potential_energy,kinetic_energy,overlaps
0.0000,26.1639,0.0186,10
3.0000,8.0533,0.0094,12
6.0000,3.5207,0.0029,12
9.0000,1.9493,0.0012,12
12.0000,1.2562,0.0006,12
15.0000,0.8873,0.0003,10
18.0000,0.6626,0.0002,10
21.0000,0.5127,0.0001,10
24.0000,0.4066,0.0001,10
27.0000,0.3283,0.0001,10
30.0000,0.2689,0.0001,10
33.0000,0.2228,0.0000,10
36.0000,0.1865,0.0000,10
39.0000,0.1574,0.0000,10
42.0000,0.1338,0.0000,10
45.0000,0.1146,0.0000,10
48.0000,0.0987,0.0000,10
51.0000,0.0855,0.0000,10
54.0000,0.0746,0.0000,10
57.0000,0.0658,0.0000,10
60.0000,0.0586,0.0000,10
63.0000,0.0526,0.0000,10
66.0000,0.0475,0.0000,10
69.0000,0.0432,0.0000,12
72.0000,0.0396,0.0000,12
75.0000,0.0364,0.0000,12
78.0000,0.0337,0.0000,12
81.0000,0.0313,0.0000,12
84.0000,0.0292,0.0000,12
87.0000,0.0273,0.0000,12
90.0000,0.0257,0.0000,12
93.0000,0.0243,0.0000,12
96.0000,0.0229,0.0000,14
99.0000,0.0218,0.0000,14
102.0000,0.0207,0.0000,14
105.0000,0.0197,0.0000,14
108.0000,0.0188,0.0000,14
111.0000,0.0180,0.0000,14
114.0000,0.0172,0.0000,14
117.0000,0.0165,0.0000,14
120.0000,0.0159,0.0000,14
123.0000,0.0153,0.0000,14
126.0000,0.0147,0.0000,14
129.0000,0.0141,0.0000,14
132.0000,0.0136,0.0000,14
135.0000,0.0132,0.0000,14
138.0000,0.0127,0.0000,14
141.0000,0.0123,0.0000,14
144.0000,0.0119,0.0000,14
147.0000,0.0115,0.0000,14
150.0000,0.0111,0.0000,14
153.0000,0.0107,0.0000,14
156.0000,0.0104,0.0000,14
159.0000,0.0101,0.0000,14
162.0000,0.0098,0.0000,14
165.0000,0.0095,0.0000,14
168.0000,0.0092,0.0000,14
171.0000,0.0089,0.0000,14
174.0000,0.0086,0.0000,14
177.0000,0.0084,0.0000,14
180.0000,0.0082,0.0000,14
183.0000,0.0079,0.0000,14
186.0000,0.0077,0.0000,14
189.0000,0.0075,0.0000,14
192.0000,0.0073,0.0000,14
195.0000,0.0071,0.0000,14
198.0000,0.0069,0.0000,14
201.0000,0.0067,0.0000,14
204.0000,0.0065,0.0000,14
207.0000,0.0063,0.0000,14
210.0000,0.0061,0.0000,14
213.0000,0.0060,0.0000,14
216.0000,0.0058,0.0000,14
219.0000,0.0057,0.0000,14
222.0000,0.0055,0.0000,14
225.0000,0.0054,0.0000,14
228.0000,0.0052,0.0000,14
231.0000,0.0051,0.0000,14
234.0000,0.0050,0.0000,14
237.0000,0.0048,0.0000,14
240.0000,0.0047,0.0000,14
243.0000,0.0046,0.0000,14
246.0000,0.0045,0.0000,14
249.0000,0.0043,0.0000,14
252.0000,0.0042,0.0000,14
255.0000,0.0041,0.0000,14
258.0000,0.0040,0.0000,14
261.0000,0.0039,0.0000,14
264.0000,0.0038,0.0000,14
267.0000,0.0037,0.0000,14
270.0000,0.0036,0.0000,14
273.0000,0.0036,0.0000,14
276.0000,0.0035,0.0000,14
279.0000,0.0034,0.0000,14
282.0000,0.0033,0.0000,14
285.0000,0.0032,0.0000,14
288.0000,0.0031,0.0000,14
291.0000,0.0031,0.0000,14
294.0000,0.0030,0.0000,14
297.0000,0.0029,0.0000,14
300.0000,0.0029,0.0000,14
303.0000,0.0028,0.0000,14
306.0000,0.0027,0.0000,14
309.0000,0.0027,0.0000,14
312.0000,0.0026,0.0000,14
315.0000,0.0025,0.0000,14
318.0000,0.0025,0.0000,14
321.0000,0.0024,0.0000,14
324.0000,0.0024,0.0000,14
327.0000,0.0023,0.0000,14
330.0000,0.0023,0.0000,14
333.0000,0.0022,0.0000,14
336.0000,0.0022,0.0000,14
339.0000,0.0021,0.0000,14
342.0000,0.0021,0.0000,14
345.0000,0.0020,0.0000,14
348.0000,0.0020,0.0000,14
351.0000,0.0019,0.0000,14
354.0000,0.0019,0.0000,14
357.0000,0.0019,0.0000,14
359.9700,0.0018,0.0000,14
